Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
462.454;9.67963;9.48148;-216.995;0;228.993;0.275818;25.4895;0
464.724;9.68207;9.52687;-216.399;0;172.006;0.264501;25.4479;0
467.703;9.68424;9.49237;-216.676;0;198.848;0.247343;25.4732;0
470.682;9.68852;9.52735;-216.6;0;153.813;0.227773;25.475;0
473.661;9.69653;9.53927;-216.56;0;136.094;0.206543;25.4843;0
476.64;9.70798;9.5308;-216.393;0;138.087;0.186006;25.485;0
479.619;9.72271;9.51174;-215.917;0;147.176;0.166496;25.4622;0
482.598;9.74022;9.51;-215.544;0;142.79;0.148027;25.4464;0
485.577;9.75997;9.52798;-215.53;0;127.435;0.131097;25.4585;0
488.556;9.78141;9.53;-215.349;0;122.506;0.116293;25.46;0
491.535;9.80405;16.5025;-211.994;0;-2914.64;0.103848;25.46;0
494.513;9.82736;26.3025;-200.965;0;-6473.81;0.0937817;25.46;0
497.492;9.85107;33.5749;-183.531;0;-8558.06;0.0860948;25.4644;0
497.749;9.85314;34.1681;-181.836;0;-8706.4;0.0854576;25.4648;0
497.749;9.85314;34.1681;-181.836;0;-8706.4;0.0854576;25.4648;0
500.471;9.87563;37.6403;-163.234;0;-9398.27;0.0807871;25.4909;0
503.451;9.90345;40.0679;-141.498;0;-9799.63;0.0775355;25.5036;0
506.43;9.94114;41.3078;-119.109;0;-9891.32;0.0752613;25.505;0
509.408;10.0018;42.001;-96.5734;0;-9884.29;0.0737211;25.4966;0
512.388;10.1065;42.6851;-73.5668;0;-9951.38;0.0729015;25.4532;0
515.366;10.2851;42.9989;-51.5516;0;-9949.83;0.072589;25.4864;0
518.345;10.5747;43.1715;-29.2076;0;-9898.08;0.0724707;25.4868;0
521.324;11.0147;43.3222;-6.93781;0;-9802.21;0.0724113;25.4769;0
524.303;11.6419;43.4308;14.7794;0;-9642.53;0.0723937;25.4831;0
527.282;12.4854;43.6262;36.1036;0;-9449.08;0.072418;25.485;0
530.261;13.5619;43.6779;57.1421;0;-9147.13;0.0724892;25.4652;0
533.24;14.8727;43.8059;77.2421;0;-8802.04;0.0726062;25.4561;0
536.219;16.4036;43.9648;96.5729;0;-8400.87;0.0727465;25.4394;0
539.198;18.1255;43.745;114.634;0;-7826.13;0.0729058;25.435;0
542.177;19.9977;43.9304;131.484;0;-7327.75;0.0730745;25.4235;0
545.156;21.972;44.0024;146.615;0;-6758.84;0.073221;25.4504;0
548.135;23.9963;44.0827;160.789;0;-6173.43;0.0733518;25.4487;0
551.114;26.0195;44.1398;173.339;0;-5578.24;0.0734712;25.4673;0
554.093;27.9952;44.15;184.971;0;-4980.48;0.0735795;25.4529;0
557.072;29.8843;44.15;195.017;0;-4403.66;0.0736728;25.456;0
560.051;31.6557;44.1717;203.925;0;-3867.1;0.0737407;25.4491;0
563.03;33.2873;44.2732;211.641;0;-3395.67;0.073769;25.445;0
566.009;34.7653;44.3029;218.362;0;-2947.49;0.0737563;25.4379;0
568.988;36.0844;44.307;223.816;0;-2539.3;0.0737033;25.4526;0
571.967;37.2462;44.31;229.252;0;-2179.24;0.0736294;25.4043;0
574.946;38.2569;44.3031;233.354;0;-1863.38;0.0735539;25.3972;0
577.925;39.1268;44.3;236.215;0;-1592.77;0.0734816;25.4323;0
580.904;39.8684;44.3067;238.862;0;-1365.24;0.0734126;25.4416;0
583.883;40.4953;44.31;241.047;0;-1172.24;0.0733413;25.45;0
586.862;41.0218;44.3166;242.338;0;-1011.53;0.0732716;25.4946;0
589.841;41.4614;44.3135;243.895;0;-874.882;0.073211;25.4954;0
592.82;41.8266;44.3682;245.729;0;-779.123;0.0731628;25.4559;0
595.799;42.1289;44.336;247.029;0;-676.26;0.0731263;25.44;0
598.778;42.3782;44.3696;247.959;0;-609.98;0.0731053;25.4368;0
601.757;42.5835;44.435;248.572;0;-567.052;0.0730917;25.4475;0
604.736;42.7522;44.3634;249.018;0;-493.36;0.0730808;25.4612;0
607.715;42.8907;44.3834;249.337;0;-457.019;0.0730731;25.4742;0
610.694;43.0048;44.436;249.499;0;-438.132;0.0730616;25.4951;0
613.673;43.0987;44.4579;250.25;0;-416.031;0.0730519;25.4691;0
616.652;43.1756;44.47;250.688;0;-396.169;0.0730474;25.4627;0
619.631;43.2385;44.47;250.785;0;-376.931;0.0730461;25.4779;0
622.61;43.29;44.4758;251.14;0;-362.939;0.0730479;25.4713;0
625.589;43.3324;44.4743;251.227;0;-349.513;0.0730512;25.4821;0
