Time, Gas, T_N10
2079, 16.46874999, 11.77
2082, 16.46874999, 11.84
2085, 16.46874999, 11.87
2088, 27.44791666, 11.83
2091, 16.46874999, 11.85
2093.87, 16.46874999, 11.92
2097, 27.44791666, 11.94
2100, 27.44791666, 11.98
2103, 16.46874999, 11.98
2105.995, 16.46874999, 12.01
2108.995, 16.46874999, 11.99
2112, 16.46874999, 11.99
2115, 16.46874999, 11.99
2118, 16.46874999, 12.05
2121, 27.44791666, 12.08
2124, 16.46874999, 12.04
2127, 16.46874999, 12.08
2130, 16.46874999, 12.01
2132.87, 16.46874999, 12.12
2136, 16.46874999, 12.12
2139, 16.46874999, 12.16
2141.87, 27.44791666, 12.16
2145, 16.46874999, 12.16
2148, 27.44791666, 12.12
2151, 16.46874999, 12.11
2154, 16.46874999, 12.15
2157, 16.46874999, 12.16
2160, 16.46874999, 12.16
2163, 16.46874999, 12.23
2165.87, 16.46874999, 12.17
2168.995, 16.46874999, 12.18
2171.87, 16.46874999, 12.19
2175, 16.46874999, 12.29
2178, 16.46874999, 12.18
2180.87, 27.44791666, 12.26
2184, 27.44791666, 12.27
2187, 16.46874999, 12.23
2190, 27.44791666, 12.31
2193, 16.46874999, 12.3
2196, 16.46874999, 12.22
2199, 16.46874999, 12.2
2202, 16.46874999, 12.27
2205, 16.46874999, 12.27
2208, 16.46874999, 12.3
2211, 27.44791666, 12.31
2214, 16.46874999, 12.31
2217, 27.44791666, 12.28
2220, 16.46874999, 12.27
2222.87, 16.46874999, 12.27
2225.995, 16.46874999, 12.3
2228.995, 16.46874999, 12.21
2232, 16.46874999, 12.17
2235, 16.46874999, 12.18
2238, 27.44791666, 12.19
2241, 16.46874999, 12.17
2244, 16.46874999, 12.26
2247, 16.46874999, 12.23
2250, 16.46874999, 12.2
2253, 16.46874999, 12.13
2255.87, 16.46874999, 12.2
2259, 27.44791666, 12.18
2261.87, 16.46874999, 12.17
2265, 27.44791666, 12.16
2267.87, 16.46874999, 12.14
2271, 16.46874999, 12.13
2274, 16.46874999, 12.16
2277, 16.46874999, 12.18
2280, 16.46874999, 12.24
2283, 16.46874999, 12.24
2285.995, 27.44791666, 12.2
2288.995, 27.44791666, 12.24
2291.87, 27.44791666, 12.22
2295, 27.44791666, 12.25
2298, 16.46874999, 12.21
2300.87, 27.44791666, 12.19
2303.87, 16.46874999, 12.16
2307, 16.46874999, 12.24
2310, 16.46874999, 12.2
2313, 16.46874999, 12.21
2316, 27.44791666, 12.18
2319, 16.46874999, 12.21
2322, 16.46874999, 12.22
2325, 16.46874999, 12.21
2328, 16.46874999, 12.22
2331, 16.46874999, 12.18
2334, 27.44791666, 12.2
2337, 16.46874999, 12.21
2339.87, 27.44791666, 12.21
2342.87, 16.46874999, 12.21
2345.995, 16.46874999, 12.22
2348.87, 27.44791666, 12.18
2351.87, 27.44791666, 12.2
2355, 16.46874999, 12.16
2358, 16.46874999, 12.26
2361, 16.46874999, 12.22
2364, 16.46874999, 12.21
2367, 16.46874999, 12.22
2370, 16.46874999, 12.21
2373, 27.44791666, 12.25
2376, 27.44791666, 12.28
2379, 27.44791666, 12.24
2382, 16.46874999, 12.24
2385, 16.46874999, 12.25
2388, 16.46874999, 12.21
2391, 16.46874999, 12.24
2394, 16.46874999, 12.24
2397, 16.46874999, 12.23
2400, 16.46874999, 12.29
2403, 16.46874999, 12.26
2405.995, 16.46874999, 12.32
2408.995, 27.44791666, 12.27
2412, 27.44791666, 12.28
2415, 16.46874999, 12.32
2418, 16.46874999, 12.36
2421, 16.46874999, 12.3
2424, 16.46874999, 12.3
2427, 16.46874999, 12.36
2430, 27.44791666, 12.33
2433, 13268.32291, 12.35
2436, 14624.24999, 12.49
2438.87, 14042.35416, 13.42
2442, 14476.03124, 15.29
2445, 16853.02083, 18.08
2448, 16798.12499, 21.45
2451, 16578.54166, 25.11
2454, 15941.74999, 28.8
2457, 16018.60416, 32.39
2460, 16578.54166, 35.78
2463, 16633.43749, 38.58
2465.995, 16798.12499, 41.06
2468.995, 16907.91666, 43.23
2472, 17072.60416, 45.24
2475, 17017.70833, 46.94
2478, 16907.91666, 48.59
2481, 16578.54166, 49.98
2484, 16468.74999, 51.22
2487, 16578.54166, 52.4
2490, 16468.74999, 53.36
2493, 16282.10416, 54.26
2496, 16358.95833, 55.02
2499, 16210.73958, 55.59
2502, 15936.26041, 56.2
2505, 15842.93749, 56.56
2508, 15738.63541, 57.02
2511, 15667.27083, 57.35
2514, 15656.29166, 57.47
2516.87, 15562.96874, 57.65
2519.87, 15562.96874, 57.84
2523, 15480.62499, 57.93
2525.995, 15409.26041, 57.93
2528.995, 15299.46874, 57.94
2532, 15409.26041, 57.95
2535, 15299.46874, 58
2538, 15299.46874, 58.01
2541, 15222.61458, 58.04
2544, 15299.46874, 58.1
2547, 15222.61458, 58.1
2550, 15222.61458, 58.06
2553, 15222.61458, 58.08
2556, 15222.61458, 58.14
2558.87, 15222.61458, 58.09
2562, 15222.61458, 58.12
2565, 15299.46874, 58.13
2568, 15222.61458, 58.21
2571, 15222.61458, 58.27
2574, 15151.24999, 58.31
2577, 15206.14583, 58.43
2580, 15140.27083, 58.46
2583, 15129.29166, 58.51
2585.995, 15129.29166, 58.51
2588.995, 15206.14583, 58.55
2592, 15222.61458, 58.61
2595, 15222.61458, 58.56
2598, 15068.90624, 58.65
2601, 15222.61458, 58.63
2604, 14772.46874, 58.65
2607, 14854.81249, 58.7
2610, 14843.83333, 58.79
2613, 14854.81249, 58.83
2616, 14854.81249, 58.82
2619, 14854.81249, 58.76
2622, 14964.60416, 58.79
2625, 14964.60416, 58.81
2628, 15030.47916, 58.82
2631, 15035.96874, 58.82
2634, 15129.29166, 58.75
2637, 15211.63541, 58.78
2640, 15112.82291, 58.81
2643, 15035.96874, 58.89
2645.995, 15140.27083, 59.05
2648.995, 15112.82291, 59.2
2652, 15035.96874, 59.28
2655, 15222.61458, 59.37
2658, 15068.90624, 59.41
2661, 15129.29166, 59.48
2664, 15035.96874, 59.56
2667, 15140.27083, 59.53
2670, 15129.29166, 59.59
2673, 15140.27083, 59.56
2676, 15123.80208, 59.56
2679, 15112.82291, 59.61
2682, 15195.16666, 59.66
2685, 15035.96874, 59.74
2688, 15123.80208, 59.78
2691, 15112.82291, 59.77
2693.87, 15035.96874, 59.88
2697, 15035.96874, 59.95
2700, 15035.96874, 59.93
2703, 15030.47916, 59.93
2705.995, 14964.60416, 59.93
2708.995, 15030.47916, 59.88
2712, 15140.27083, 59.88
2715, 15035.96874, 59.95
2718, 15035.96874, 59.93
2721, 15035.96874, 59.99
2724, 14926.17708, 60.07
2727, 14953.62499, 60.05
2730, 14854.81249, 60.09
2732.87, 14964.60416, 60.08
2735.87, 14964.60416, 60.04
2739, 14854.81249, 60.16
2742, 14964.60416, 60.05
2745, 14964.60416, 60.09
2748, 14964.60416, 60.04
2750.87, 14964.60416, 60.1
2754, 14964.60416, 60.08
2757, 14964.60416, 60.08
2760, 14964.60416, 60.09
2763, 14964.60416, 60.17
