#1

double tab1(1661,2)
2259	9.28
2261.87	9.27
2265	9.26
2267.87	9.28
2271	9.27
2274	9.26
2277	9.28
2280	9.3
2283	9.3
2285.995	9.34
2288.995	9.3
2291.87	9.37
2295	9.39
2298	9.39
2300.87	9.42
2303.87	9.34
2307	9.38
2310	9.38
2313	9.39
2316	9.41
2319	9.39
2322	9.41
2325	9.39
2328	9.45
2331	9.45
2334	9.47
2337	9.39
2339.87	9.44
2342.87	9.48
2345.995	9.49
2348.87	9.49
2351.87	9.47
2355	9.43
2358	9.49
2361	9.49
2364	9.48
2367	9.49
2370	9.48
2373	9.48
2376	9.47
2379	9.47
2382	9.47
2385	9.52
2388	9.48
2391	9.55
2394	9.55
2397	9.58
2400	9.6
2403	9.61
2405.995	9.63
2408.995	9.58
2412	9.6
2415	9.63
2418	9.63
2421	9.65
2424	9.65
2427	9.8
2430	9.76
2433	9.79
2436	10.1
2438.87	13.47
2442	20.29
2445	28.32
2448	36.51
2451	43.68
2454	49.19
2457	53.37
2460	55.99
2463	57.41
2465.995	58.34
2468.995	58.78
2472	59.26
2475	59.68
2478	60.18
2481	60.54
2484	60.8
2487	60.81
2490	60.62
2493	60.63
2496	60.67
2499	60.71
2502	60.83
2505	60.83
2508	60.66
2511	60.52
2514	60.18
2516.87	59.88
2519.87	59.68
2523	59.43
2525.995	59.24
2528.995	59.18
2532	59.03
2535	58.92
2538	58.78
2541	58.77
2544	58.64
2547	58.68
2550	58.49
2553	58.5
2556	58.53
2558.87	58.48
2562	58.5
2565	58.59
2568	58.7
2571	58.84
2574	58.99
2577	58.99
2580	58.98
2583	58.92
2585.995	58.77
2588.995	58.69
2592	58.62
2595	58.5
2598	58.55
2601	58.54
2604	58.7
2607	58.83
2610	58.8
2613	58.72
2616	58.64
2619	58.39
2622	58.38
2625	58.24
2628	58.25
2631	58.25
2634	58.23
2637	58.37
2640	58.51
2643	58.7
2645.995	58.82
2648.995	58.96
2652	58.99
2655	58.97
2658	58.97
2661	58.99
2664	58.99
2667	58.97
2670	59.03
2673	58.99
2676	59.07
2679	59.16
2682	59.32
2685	59.32
2688	59.47
2691	59.46
2693.87	59.3
2697	59.32
2700	59.27
2703	59.27
2705.995	59.12
2708.995	58.96
2712	58.96
2715	59.18
2718	59.27
2721	59.29
2724	59.44
2727	59.43
2730	59.43
2732.87	59.42
2735.87	59.26
2739	59.18
2742	59.01
2745	59.04
2748	59.15
2750.87	59.17
2754	59.15
2757	59.15
2760	59.12
2763	59.27
2765.995	59.25
2768.995	59.13
2772	59.14
2775	59
2778	58.99
2781	59.01
2784	59.13
2787	59.17
2789.87	59.13
2793	59.14
2796	59.17
2799	59.13
2802	59.14
2805	59.08
2808	58.91
2811	58.86
2814	58.86
2817	58.84
2820	58.87
2823	58.86
2825.995	58.98
2828.995	59.03
2832	59.15
2835	59
2838	58.96
2841	58.93
2844	59.01
2847	59.03
2850	59.03
2853	59.01
2856	59.09
2859	59.21
2862	59.32
2865	59.3
2868	59.16
2871	59
2874	58.9
2877	58.89
2880	58.85
2883	58.89
2885.995	58.84
2888.995	58.83
2892	58.98
2895	59.16
2898	59.14
2901	59.14
2904	59.17
2907	59.22
2910	59.24
2913	59.16
2916	59.09
2918.87	59.01
2922	59.01
2925	58.96
2928	58.91
2931	59.01
2934	59
