time	GasIn	Tout
898	7795.42	310.48
900	7857.11	310.45
901	7795.42	310.47
902	8116.21	310.47
903	8054.52	310.47
904	7992.83	310.56
905	8054.52	310.57
906	8054.52	310.61
907	7992.83	310.66
908	7992.83	310.7
909	7992.83	310.78
910	7992.83	310.79
911	7918.8	310.81
912	7918.8	310.88
913	8622.08	310.94
914	7857.11	310.96
915	7857.11	310.99
916	7795.42	311.06
917	7857.11	311.14
918	7733.73	311.19
919	8116.21	311.18
920	7733.73	311.2
921	7733.73	311.28
922	7610.34	311.25
923	7733.73	311.33
925	7610.34	311.34
926	7474.62	311.35
927	7672.04	311.41
928	7610.34	311.41
929	7474.62	311.38
930	7412.93	311.37
931	7733.73	311.43
932	7548.65	311.47
933	7548.65	311.45
934	7548.65	311.46
935	7412.93	311.45
936	7351.24	311.39
937	7166.17	311.42
938	7548.65	311.42
939	7412.93	311.35
940	7548.65	311.39
941	7610.34	311.34
942	7474.62	311.32
943	7227.86	311.32
944	7227.86	311.31
945	7412.93	311.27
946	7351.24	311.32
947	7227.86	311.36
949	7227.86	311.4
950	7289.55	311.4
951	7166.17	311.41
952	7104.48	311.45
953	7227.86	311.52
954	7166.17	311.43
955	7227.86	311.52
956	7351.24	311.53
957	7289.55	311.58
958	7412.93	311.49
959	6968.76	311.56
960	7030.45	311.56
961	7030.45	311.6
962	7030.45	311.66
963	7030.45	311.6
964	7030.45	311.63
965	6660.3	311.59
966	6660.3	311.64
967	7351.24	311.63
968	7030.45	311.64
969	7030.45	311.61
970	6721.99	311.58
971	6783.68	311.6
972	6660.3	311.51
974	7030.45	311.54
975	6968.76	311.52
976	6968.76	311.49
977	6968.76	311.5
978	6845.37	311.39
979	6907.06	311.39
980	6968.76	311.34
981	6845.37	311.29
982	6968.76	311.32
983	7104.48	311.24
984	6907.06	311.25
985	6783.68	311.2
986	6907.06	311.12
987	6907.06	311.12
988	7166.17	311.11
989	6845.37	311.06
990	6907.06	311.07
991	6968.76	311.03
992	6968.76	311.02
993	6783.68	311.02
994	6660.3	311.02
995	6907.06	310.99
996	7166.17	311.01
998	6968.76	311
999	6845.37	310.99
1000	7474.62	310.99
1001	6845.37	310.97
1002	6660.3	310.95
1003	7030.45	310.98
1004	6907.06	311
1005	6968.76	311.01
1006	6660.3	311
1007	7166.17	311.03
1008	6907.06	311.01
1009	6907.06	311.02
1010	6783.68	310.98
1011	7030.45	311.01
1012	6586.27	311.08
1013	7857.11	311.03
1014	6845.37	311.07
1015	6968.76	311.1
1016	6907.06	311.08
1017	6586.27	311.06
1018	6907.06	311.08
1019	6783.68	311.09
1020	6968.76	311.07
1021	6907.06	311.08
1023	6907.06	311.08
1024	7030.45	311.06
1025	6845.37	311.04
1026	6968.76	311.06
1027	6277.82	311.09
1028	7030.45	311.06
1029	6968.76	311.06
1030	6845.37	311.08
1031	6660.3	310.98
1032	6907.06	311.02
1033	6660.3	311.04
1034	6845.37	310.99
1035	6721.99	311.02
1036	6277.82	310.97
1037	6968.76	310.98
1038	6907.06	311
1039	6907.06	310.99
1040	6968.76	310.97
1041	7030.45	310.99
1042	6907.06	310.99
1043	6783.68	310.97
1044	6907.06	310.96
1045	6968.76	311.03
1046	6968.76	310.99
1048	6339.51	310.95
1049	6783.68	310.96
1050	6845.37	310.97
1051	7030.45	311
1052	6783.68	311.02
1053	7030.45	310.98
1054	7104.48	311.01
1055	6907.06	310.96
1056	7030.45	311
1057	6845.37	311.02
1058	6783.68	311
1059	7030.45	311.01
1060	6845.37	311.01
1061	7030.45	311.02
1062	6783.68	311.03
1063	6968.76	310.99
1064	6907.06	311.02
1065	6783.68	311.02
1066	6845.37	310.97
1067	6907.06	310.96
1068	6783.68	311.04
1069	6968.76	311.05
1070	6783.68	311.01
1072	6721.99	311
1073	6845.37	311.04
1074	6721.99	310.98
1075	6783.68	311
1076	7104.48	311.05
1077	6968.76	310.99
1078	6783.68	311.03
1079	7030.45	310.98
1080	6845.37	311.01
1081	6783.68	311.03
1082	7227.86	310.97
1083	6907.06	311
1084	6721.99	310.98
1085	6968.76	310.96
1086	6968.76	310.95
1087	6968.76	310.97
1088	6845.37	310.99
1089	6783.68	310.98
1090	6968.76	310.97
1091	7104.48	310.96
1092	6968.76	310.99
1093	6660.3	311
1094	6845.37	310.99
1095	6907.06	310.98
1097	6845.37	310.96
1098	6524.58	310.99
1099	7030.45	310.98
1100	7030.45	310.95
1101	6968.76	310.96
1102	6907.06	310.96
1103	6721.99	310.95
1104	6968.76	310.92
1105	7030.45	310.97
1106	6660.3	311
1107	6721.99	310.95
1108	7030.45	310.99
1109	6586.27	310.98
1110	6783.68	310.97
1111	6968.76	311
1112	6721.99	311.03
1113	6907.06	310.98
1114	6845.37	310.95
1115	6783.68	310.93
1116	6907.06	310.96
1117	6968.76	310.97
1118	6845.37	310.95
1119	6907.06	310.98
1121	6907.06	310.95
1122	6586.27	310.98
1123	6524.58	310.98
1124	6783.68	310.97
1125	6907.06	310.96
1126	6907.06	310.97
1127	6783.68	311.05
1128	7610.34	311.04
1129	6968.76	311
1130	7030.45	311.02
1131	6660.3	310.93
1132	6845.37	310.96
1133	6907.06	310.99
1134	7104.48	311.01
1135	6968.76	310.97
1136	6907.06	310.95
1137	6907.06	310.99
1138	6783.68	310.98
1139	6783.68	310.97
1140	6907.06	311
1141	6721.99	311
1142	7104.48	310.99
1143	6845.37	310.96
1144	6845.37	310.99
1146	6845.37	311.01
1147	6907.06	310.93
1148	6845.37	310.96
1149	6845.37	311
1150	6968.76	311.03
1151	6586.27	310.95
1152	6907.06	311.01
1153	6721.99	310.99
1154	6907.06	310.98
1155	6721.99	311.03
1156	6783.68	311
1157	6907.06	310.97
1158	6660.3	310.96
1159	6721.99	310.99
1160	7412.93	311.04
1161	6586.27	310.98
1162	6660.3	311
1163	6660.3	310.98
1164	6783.68	310.98
1165	6721.99	310.96
1166	6721.99	310.97
1167	6783.68	310.94
1168	6721.99	310.93
1169	6845.37	310.95
1171	6783.68	310.96
1172	6524.58	310.95
1173	6845.37	310.92
1174	6721.99	310.92
1175	6586.27	310.97
1176	6721.99	310.9
1177	6721.99	310.92
1178	6462.89	310.94
1179	6783.68	310.92
1180	6721.99	310.97
1181	6783.68	310.93
1182	6721.99	310.92
