Time,endUse.watFlo,watFlo.y
619.62,0.117924,0.117924
621,0.1182,0.1182
622.38,0.118476,0.118476
623.76,0.118752,0.118752
625.14,0.119028,0.119028
626.52,0.119304,0.119304
627.9,0.11958,0.11958
629.28,0.119856,0.119856
630.66,0.120132,0.120132
632.04,0.120408,0.120408
633.42,0.120684,0.120684
634.8,0.12096,0.12096
636.18,0.121236,0.121236
637.56,0.121512,0.121512
638.94,0.121788,0.121788
640.32,0.122064,0.122064
641.7,0.12234,0.12234
643.08,0.122616,0.122616
644.46,0.122892,0.122892
645.84,0.123168,0.123168
647.22,0.123444,0.123444
648.6,0.12372,0.12372
649.98,0.123996,0.123996
651.36,0.124272,0.124272
652.74,0.124548,0.124548
654.12,0.124824,0.124824
655.5,0.1251,0.1251
656.88,0.125376,0.125376
658.26,0.125652,0.125652
659.64,0.125928,0.125928
660,0.126,0.126
660,0.126,0.126
661.02,0.126,0.126
662.4,0.126,0.126
663.78,0.126,0.126
665.16,0.126,0.126
666.54,0.126,0.126
667.92,0.126,0.126
669.3,0.126,0.126
670.68,0.126,0.126
672.06,0.126,0.126
673.44,0.126,0.126
674.82,0.126,0.126
676.2,0.126,0.126
677.58,0.126,0.126
678.96,0.126,0.126
680.34,0.126,0.126
681.72,0.126,0.126
683.1,0.126,0.126
684.48,0.126,0.126
685.86,0.126,0.126
687.24,0.126,0.126
688.62,0.126,0.126
690,0.126,0.126
690,0.126,0.126
