Time,pip.vol[46].T,ValidationData.y[9]
3496.16,323.362,50.3889
3505.19,323.298,50.3333
3514.23,323.234,50.2778
3523.26,323.169,50.2078
3532.29,323.105,50.1111
3541.33,323.041,50.1111
3550.36,322.978,50
3559.4,322.914,49.9444
3568.43,322.85,49.8889
3577.46,322.787,49.8333
3586.5,322.724,49.7778
3595.53,322.661,49.7222
3604.57,322.598,49.6667
3613.6,322.535,49.5778
3622.63,322.472,49.5
3631.67,322.409,49.5
3640.7,322.347,49.4444
3649.74,322.285,49.3333
3658.77,322.223,49.2906
3667.8,322.16,49.2778
3676.84,322.099,49.2222
3685.87,322.037,49.1182
3694.91,321.975,49.0556
3703.94,321.914,49
3712.97,321.852,49
3722.01,321.791,48.944
3731.04,321.73,48.8333
3740.08,321.669,48.7778
3749.11,321.608,48.7222
3758.14,321.547,48.7142
3767.18,321.487,48.6111
3776.21,321.426,48.5556
3785.25,321.366,48.5
3794.28,321.306,48.4444
3803.31,321.246,48.3889
3812.35,321.186,48.3333
3821.38,321.126,48.2778
3830.42,321.066,48.2222
3839.45,321.006,48.1667
3848.48,320.947,48.1111
3857.52,320.888,48.0556
3866.55,320.829,48
3875.59,320.769,47.9119
3884.62,320.711,47.8678
3893.65,320.652,47.8333
3902.69,320.593,47.7778
3911.72,320.534,47.7222
3920.76,320.476,47.6247
3929.79,320.418,47.5556
3938.82,320.36,47.5458
3947.86,320.301,47.5
3956.89,320.244,47.4444
3965.93,320.186,47.3374
3974.96,320.128,47.2778
3983.99,320.071,47.2222
3993.03,320.013,47.2222
4002.06,319.956,47.1632
4011.1,319.899,47.1058
4020.13,319.842,47
4029.16,319.785,46.9909
4038.2,319.728,46.9444
4047.23,319.671,46.8889
4056.27,319.614,46.8186
4065.3,319.558,46.7611
4074.33,319.502,46.6667
4083.37,319.445,46.6111
4092.4,319.389,46.6111
4101.44,319.333,46.5556
4110.47,319.278,46.4739
4119.5,319.222,46.3889
4128.54,319.166,46.3632
4137.57,319.111,46.3333
4146.61,319.055,46.2778
4155.64,319,46.2222
4164.67,318.945,46.1667
4173.71,318.89,46.1111
4182.74,318.835,46.0556
4191.78,318.78,46
4200.81,318.726,45.9444
4209.84,318.671,45.8889
4218.88,318.617,45.7846
4227.91,318.562,45.7778
4236.95,318.508,45.7222
4245.98,318.454,45.6667
4255.01,318.4,45.6111
4264.05,318.346,45.5556
4273.08,318.292,45.5
4282.12,318.239,45.4444
4291.15,318.185,45.3889
4300.18,318.132,45.3333
4309.22,318.079,45.2778
4318.25,318.025,45.2222
4327.29,317.972,45.1667
4336.32,317.919,45.1289
4345.35,317.867,45.0556
4354.39,317.814,45
4363.42,317.761,44.9444
4372.46,317.709,44.8889
4381.49,317.656,44.8617
4390.52,317.604,44.8333
4399.56,317.552,44.7778
4408.59,317.5,44.7222
4417.63,317.448,44.6667
4426.66,317.396,44.6111
4435.69,317.345,44.5556
4444.73,317.293,44.5
4453.76,317.241,44.4444
4462.8,317.19,44.3889
4471.83,317.139,44.3333
4480.86,317.088,44.2778
4489.9,317.037,44.2778
4498.93,316.986,44.2222
4507.97,316.935,44.1667
4517,316.884,44.1111
