Time,realToInteger.u,realToInteger.y,pump.TStatSig,pump.RecircFlow,pump.CircFlow,pump.QElePum,pump.QPum
29.16,0.0649081,0,0,0.12,0,50,0
29.28,0.106856,0,0,0.12,0,50,0
29.4,0.157726,0,0,0.12,0,50,0
29.52,0.216366,0,0,0.12,0,50,0
29.64,0.281442,0,0,0.12,0,50,0
29.76,0.351479,0,0,0.12,0,50,0
29.88,0.424887,0,0,0.12,0,50,0
30,0.5,0,0,0.12,0,50,0
30,0.5,0,0,0.12,0,50,0
30,0.5,1,1,0.12,0.12,50,50
30.12,0.575113,1,1,0.12,0.12,50,50
30.24,0.648521,1,1,0.12,0.12,50,50
30.36,0.718558,1,1,0.12,0.12,50,50
30.48,0.783634,1,1,0.12,0.12,50,50
30.6,0.842274,1,1,0.12,0.12,50,50
30.72,0.893144,1,1,0.12,0.12,50,50
30.84,0.935092,1,1,0.12,0.12,50,50
30.96,0.967164,1,1,0.12,0.12,50,50
31.08,0.988634,1,1,0.12,0.12,50,50
31.2,0.999013,1,1,0.12,0.12,50,50
31.32,0.998067,1,1,0.12,0.12,50,50
31.44,0.985816,1,1,0.12,0.12,50,50
31.56,0.962539,1,1,0.12,0.12,50,50
31.68,0.928763,1,1,0.12,0.12,50,50
31.8,0.885257,1,1,0.12,0.12,50,50
31.92,0.833006,1,1,0.12,0.12,50,50
32.04,0.773197,1,1,0.12,0.12,50,50
32.16,0.707188,1,1,0.12,0.12,50,50
32.28,0.636476,1,1,0.12,0.12,50,50
32.4,0.562667,1,1,0.12,0.12,50,50
32.5,0.5,1,1,0.12,0.12,50,50
32.5,0.5,0,0,0.12,0,50,0
32.52,0.487435,0,0,0.12,0,50,0
32.64,0.412488,0,0,0.12,0,50,0
32.76,0.339528,0,0,0.12,0,50,0
32.88,0.27021,0,0,0.12,0,50,0
33,0.206107,0,0,0.12,0,50,0
33.12,0.148675,0,0,0.12,0,50,0
33.24,0.0992165,0,0,0.12,0,50,0
33.36,0.0588544,0,0,0.12,0,50,0
33.48,0.0285047,0,0,0.12,0,50,0
33.6,0.00885637,0,0,0.12,0,50,0
33.72,0.000355264,0,0,0.12,0,50,0
33.84,0.00319434,0,0,0.12,0,50,0
33.96,0.0173092,0,0,0.12,0,50,0
34.08,0.0423794,0,0,0.12,0,50,0
34.2,0.077836,0,0,0.12,0,50,0
34.32,0.122874,0,0,0.12,0,50,0
34.44,0.176472,0,0,0.12,0,50,0
