Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
470,35.6214,52,0.12,-1028.11,4184.78,8
472,35.2507,52,0.12,-1051.38,4184.78,8
474,34.8791,52,0.12,-1074.71,4184.78,8
476,34.5068,52,0.12,-1098.08,4184.78,8
478,34.1337,52,0.12,-1121.5,4184.78,8
480,33.76,52,0.12,-1144.96,4184.78,8
482,33.3857,52,0.12,-1168.45,4184.78,8
484,33.0109,52,0.12,-1191.98,4184.78,8
486,32.6355,52,0.12,-1215.54,4184.78,8
488,32.2598,52,0.12,-1239.13,4184.78,8
490,31.8837,52,0.12,-1262.73,4184.78,8
492,31.5073,52,0.12,-1286.36,4184.78,8
494,31.1307,52,0.12,-1310,4184.78,8
496,30.7539,52,0.12,-1333.65,4184.78,8
498,30.377,52,0.12,-1357.31,4184.78,8
500,30,52,0.12,-1380.98,4184.78,8
502,29.623,52,0.12,-1404.64,4184.78,8
504,29.2461,52,0.12,-1428.3,4184.78,8
506,28.8693,52,0.12,-1451.95,4184.78,8
508,28.4927,52,0.12,-1475.6,4184.78,8
510,28.1163,52,0.12,-1499.22,4184.78,8
512,27.7402,52,0.12,-1522.83,4184.78,8
514,27.3645,52,0.12,-1546.41,4184.78,8
516,26.9891,52,0.12,-1569.97,4184.78,8
518,26.6143,52,0.12,-1593.5,4184.78,8
520,26.24,52,0.12,-1617,4184.78,8
522,25.8663,52,0.12,-1640.46,4184.78,8
524,25.4932,52,0.12,-1663.87,4184.78,8
526,25.1209,52,0.12,-1687.25,4184.78,8
528,24.7493,52,0.12,-1710.57,4184.78,8
530,24.3786,52,0.12,-1733.84,4184.78,8
532,24.0087,52,0.12,-1757.06,4184.78,8
534,23.6398,52,0.12,-1780.22,4184.78,8
536,23.2719,52,0.12,-1803.31,4184.78,8
538,22.905,52,0.12,-1826.34,4184.78,8
540,22.5393,52,0.12,-1849.3,4184.78,8
542,22.1748,52,0.12,-1872.18,4184.78,8
544,21.8114,52,0.12,-1894.99,4184.78,8
546,21.4494,52,0.12,-1917.71,4184.78,8
548,21.0888,52,0.12,-1940.35,4184.78,8
550,20.7295,52,0.12,-1962.9,4184.78,8
552,20.3717,52,0.12,-1985.36,4184.78,8
554,20.0154,52,0.12,-2007.73,4184.78,8
556,19.6607,52,0.12,-2029.99,4184.78,8
558,19.3076,52,0.12,-2052.15,4184.78,8
560,18.9563,52,0.12,-2074.21,4184.78,8
562,18.6066,52,0.12,-2096.16,4184.78,8
564,18.2588,52,0.12,-2117.99,4184.78,8
566,17.9128,52,0.12,-2139.71,4184.78,8
568,17.5687,52,0.12,-2161.31,4184.78,8
570,17.2266,52,0.12,-2182.78,4184.78,8
572,16.8865,52,0.12,-2204.13,4184.78,8
