Time	T_F,Entrance	T_F,Exit	T_Nodes	sum(dT_Nodes)
1205.592	129.5019444	100.9883333	1324.031167	13.54083333
1210.596	127.1672778	99.80544444	1323.968833	13.72761111
1215.606	125.3307222	98.74711111	1324.342389	13.60316667
1220.622	124.3657778	98.06227778	1324.404667	13.54088889
1225.632	122.6537222	97.035	1324.435778	13.50977778
1230.636	120.9727778	95.821	1324.217889	13.85211111
1235.646	120.537	95.44744444	1324.217889	13.72766667
1240.662	119.2918333	94.29572222	1324.249056	13.6965
1245.666	118.0467222	93.23733333	1324.217889	13.603
1250.676	117.2373333	92.77044444	1324.280167	13.54072222
1255.722	115.9922222	91.80544444	1324.435778	13.38511111
1260.732	114.8404444	90.99611111	1324.342389	13.35405556
1265.736	114.1556667	90.49805556	1324.404667	13.41622222
1270.746	113.4085556	89.71983333	1324.529167	13.29172222
1275.762	112.5369444	88.786	1324.435778	13.26066667
1280.766	112.1945556	88.47472222	1324.466889	13.354
1285.776	110.9805556	87.47855556	1324.404667	13.54088889
1290.792	109.8910556	86.76261111	1324.529222	13.41633333
1295.802	109.3618333	86.26455556	1324.591444	13.35411111
1300.806	108.9883333	85.57977778	1324.435833	13.50972222
1305.816	107.8677222	84.80155556	1324.404722	13.54083333
1310.832	107.463	84.55255556	1324.3735	13.44738889
1315.842	106.6225556	83.77433333	1324.404611	13.29183333
1320.876	105.6887222	83.12061111	1324.435778	13.38511111
1325.892	105.1595556	82.68483333	1324.560333	13.38522222
1330.902	104.3191111	82.12455556	1324.715944	13.22961111
1335.96	103.8210556	81.50194444	1324.529111	13.41644444
1340.538	103.4786111	81.09727778	1324.560278	13.38527778
1345.542	102.7937778	80.59922222	1324.529111	13.29177778
1350.558	102.5758889	80.31905556	1324.684833	13.26072222
1355.61	101.7665556	79.75877778	1324.684778	13.38522222
1360.614	101.1128333	79.13616667	1324.840444	13.354
1365.624	100.2723889	78.66927778	1324.715944	13.35405556
1370.64	99.86772222	78.32683333	1324.622556	13.44744444
1375.644	99.0895	77.82883333	1324.684833	13.26072222
1380.672	98.62255556	77.20622222	1324.809389	13.13616667
1385.682	98.40466667	77.08172222	1324.747111	13.19844444
1390.698	97.78211111	76.49027778	1324.809333	13.26066667
1395.708	97.25288889	76.0545	1324.778167	13.41627778
1400.712	96.72372222	75.83661111	1324.747056	13.32294444
1405.728	96.13227778	75.36961111	1324.778167	13.29183333
1410.738	95.72766667	74.90272222	1324.778167	13.29183333
1415.742	95.32294444	74.65366667	1324.778167	13.29183333
1420.842	94.76266667	74.24905556	1324.778167	13.41627778
1425.846	93.92216667	73.81322222	1324.840444	13.354
1430.856	93.61088889	73.65761111	1324.747056	13.32294444
1435.872	92.95716667	73.09727778	1324.684833	13.26072222
1440.882	92.61477778	72.63033333	1324.778222	13.04266667
1445.886	92.27238889	72.44355556	1324.809333	13.13622222
1450.896	91.77433333	72.00777778	1325.027222	12.91833333
1455.912	91.55638889	71.60311111	1324.871556	13.19844444
1460.916	91.3385	71.41633333	1324.902667	13.29177778
1465.926	91.27622222	71.13616667	1324.902722	13.16727778
1470.93	90.84044444	70.82488889	1324.902722	13.16727778
1475.952	90.59144444	70.7315	1324.902722	13.16727778
1480.956	90.15566667	70.4825	1324.933833	13.13616667
1485.462	89.93772222	70.32683333	1324.902722	13.16727778
1490.484	89.43966667	70.01555556	1324.933833	13.13616667
1495.488	88.94161111	69.70427778	1325.027222	12.91833333
1500.498	89.00388889	69.5175	1324.964944	12.98061111
1505.514	88.50583333	69.26844444	1324.871611	13.07394444
1510.518	88.00777778	68.98833333	1324.902722	13.04283333
1515.528	87.85216667	68.89494444	1324.964944	13.10505556
1520.532	87.57194444	68.58366667	1325.089444	13.105
1525.548	87.22955556	68.33461111	1324.964944	13.10505556
1530.606	87.01166667	68.14783333	1325.151722	12.91827778
1535.706	86.70038889	67.86772222	1324.933833	13.13616667
1540.734	86.42022222	67.52527778	1324.902722	13.04283333
1545.75	85.98444444	67.27627778	1324.933833	13.13616667
1550.79	86.14005556	67.12061111	1324.902722	13.04283333
1555.794	85.70427778	66.90272222	1324.871556	12.94933333
1560.81	85.5175	66.71594444	1324.871611	13.07394444
1565.82	85.29961111	66.59144444	1324.871611	13.07394444
1570.824	85.11283333	66.37355556	1324.996056	13.07394444
1575.834	84.55255556	66.15566667	1324.964944	13.10505556
1580.85	84.33466667	66.09338889	1324.996056	13.07394444
1585.86	84.3035	65.8755	1325.027222	13.04277778
1590.864	83.96111111	65.71988889	1325.058333	13.01166667
1595.88	83.8055	65.65761111	1325.089444	12.98055556
1600.89	83.24511111	65.43966667	1325.120611	12.82494444
1605.9	83.15177778	65.25294444	1325.151667	12.91833333
1610.904	82.965	65.12838889	1325.120556	12.94944444
1615.92	82.87161111	64.94166667	1325.182778	13.01166667
1620.93	82.40466667	64.72372222	1325.182833	13.01161111
1625.934	82.31127778	64.6615	1325.182778	13.01166667
1630.95	82.03116667	64.47472222	1325.182833	12.88716667
1635.96	81.53305556	64.31911111	1325.182778	13.01166667
1640.466	81.37744444	64.22572222	1325.213944	12.9805
1645.476	81.15955556	64.07005556	1325.151667	12.91833333
1650.492	81.06616667	63.94555556	1325.120556	12.94944444
1655.496	80.6615	63.82105556	1325.089444	12.85611111
1660.506	80.35022222	63.60311111	1325.120611	12.82494444
1665.522	80.35022222	63.50972222	1325.058278	12.88727778
1670.532	80.31905556	63.35411111	1325.089444	12.85611111
1675.536	79.91438889	63.13616667	1325.058333	12.88722222
