Time[1].y;tan.vol[1].T;tan.vol[2].T;tan.vol[3].T;tan.vol[4].T;tan.vol[5].T;tan.vol[6].T;tan.vol[7].T;tan.vol[8].T;tan.vol[9].T;tan.vol[10].T;tan.vol[11].T;tan.vol[12].T;tan.vol[13].T;tan.vol[14].T;tan.vol[15].T;tan.vol[16].T;tan.vol[17].T;tan.vol[18].T;tan.vol[19].T;tan.vol[20].T;onOffController.y
244.8;332.306;332.297;332.216;332.056;331.74;331.148;330.125;328.507;326.185;323.175;319.67;316.017;312.599;309.673;307.769;307.769;307.769;307.769;307.769;307.769;1
247.2;332.302;332.292;332.212;332.052;331.736;331.145;330.122;328.506;326.185;323.176;319.672;316.021;312.604;309.68;307.85;307.85;307.85;307.85;307.85;307.85;1
249.6;332.297;332.287;332.208;332.048;331.733;331.142;330.12;328.505;326.185;323.177;319.675;316.024;312.609;309.686;307.932;307.932;307.932;307.932;307.932;307.932;1
252;332.293;332.283;332.204;332.045;331.73;331.14;330.118;328.503;326.185;323.178;319.677;316.028;312.614;309.693;308.013;308.013;308.013;308.013;308.013;308.013;1
254.4;332.288;332.278;332.199;332.041;331.726;331.137;330.116;328.502;326.185;323.179;319.68;316.032;312.62;309.699;308.094;308.094;308.094;308.094;308.094;308.094;1
256.8;332.284;332.274;332.195;332.037;331.723;331.134;330.114;328.501;326.185;323.181;319.682;316.036;312.625;309.706;308.175;308.175;308.175;308.175;308.175;308.175;1
259.2;332.279;332.269;332.191;332.033;331.72;331.132;330.112;328.5;326.185;323.182;319.685;316.04;312.63;309.712;308.256;308.256;308.256;308.256;308.256;308.256;1
261.6;332.275;332.265;332.187;332.03;331.717;331.129;330.11;328.499;326.185;323.183;319.687;316.044;312.636;309.719;308.337;308.337;308.337;308.337;308.337;308.337;1
264;332.271;332.261;332.183;332.026;331.713;331.126;330.109;328.498;326.185;323.184;319.69;316.048;312.641;309.726;308.418;308.418;308.418;308.418;308.418;308.418;1
266.4;332.266;332.256;332.179;332.022;331.71;331.124;330.107;328.497;326.185;323.185;319.693;316.052;312.646;309.732;308.499;308.499;308.499;308.499;308.499;308.499;1
268.8;332.262;332.252;332.175;332.019;331.707;331.121;330.105;328.496;326.185;323.187;319.695;316.056;312.652;309.739;308.58;308.58;308.58;308.58;308.58;308.58;1
271.2;332.258;332.248;332.171;332.015;331.704;331.119;330.103;328.495;326.185;323.188;319.698;316.06;312.657;309.746;308.661;308.661;308.661;308.661;308.661;308.661;1
273.6;332.253;332.243;332.167;332.012;331.701;331.116;330.101;328.494;326.185;323.19;319.701;316.064;312.663;309.753;308.742;308.742;308.742;308.742;308.742;308.742;1
276;332.249;332.239;332.163;332.008;331.698;331.114;330.099;328.493;326.185;323.191;319.703;316.068;312.668;309.759;308.823;308.823;308.823;308.823;308.823;308.823;1
278.4;332.245;332.235;332.159;332.004;331.695;331.111;330.098;328.492;326.185;323.192;319.706;316.073;312.674;309.766;308.904;308.904;308.904;308.904;308.904;308.904;1
280.8;332.24;332.23;332.155;332.001;331.692;331.109;330.096;328.492;326.186;323.194;319.709;316.077;312.679;309.773;308.984;308.984;308.984;308.984;308.984;308.984;1
283.2;332.236;332.226;332.151;331.998;331.689;331.106;330.094;328.491;326.186;323.195;319.712;316.081;312.685;309.78;309.065;309.065;309.065;309.065;309.065;309.065;1
285.6;332.232;332.222;332.147;331.994;331.686;331.104;330.093;328.49;326.186;323.197;319.715;316.085;312.691;309.787;309.146;309.146;309.146;309.146;309.146;309.146;1
288;332.228;332.218;332.144;331.991;331.683;331.102;330.091;328.489;326.187;323.198;319.717;316.09;312.696;309.794;309.227;309.227;309.227;309.227;309.227;309.227;1
290.4;332.224;332.214;332.14;331.987;331.68;331.099;330.089;328.489;326.187;323.2;319.72;316.094;312.702;309.8;309.308;309.308;309.308;309.308;309.308;309.308;1
292.8;332.219;332.209;332.136;331.984;331.677;331.097;330.088;328.488;326.187;323.201;319.723;316.098;312.707;309.807;309.388;309.388;309.388;309.388;309.388;309.388;1
295.2;332.215;332.205;332.132;331.98;331.674;331.095;330.086;328.487;326.188;323.203;319.726;316.102;312.713;309.814;309.469;309.469;309.469;309.469;309.469;309.469;1
297.6;332.211;332.201;332.128;331.977;331.671;331.092;330.085;328.487;326.188;323.205;319.729;316.107;312.719;309.821;309.55;309.55;309.55;309.55;309.55;309.55;1
300;332.207;332.197;332.125;331.974;331.669;331.09;330.083;328.486;326.189;323.206;319.732;316.111;312.724;309.828;309.631;309.631;309.631;309.631;309.631;309.631;1
302.4;332.203;332.193;332.121;331.971;331.666;331.088;330.082;328.485;326.189;323.208;319.735;316.115;312.73;309.835;309.711;309.711;309.711;309.711;309.711;309.711;1
304.8;332.199;332.189;332.117;331.967;331.663;331.086;330.08;328.485;326.189;323.21;319.738;316.12;312.736;309.843;309.792;309.792;309.792;309.792;309.792;309.792;1
307.2;332.195;332.185;332.114;331.964;331.66;331.084;330.079;328.484;326.19;323.211;319.741;316.124;312.742;309.874;309.869;309.869;309.869;309.869;309.869;309.869;1
309.6;332.191;332.181;332.11;331.961;331.658;331.081;330.077;328.484;326.19;323.213;319.744;316.129;312.747;309.924;309.942;309.942;309.942;309.942;309.942;309.942;1
312;332.187;332.177;332.106;331.958;331.655;331.079;330.076;328.483;326.191;323.215;319.747;316.133;312.753;309.992;310.013;310.013;310.013;310.013;310.013;310.013;1
314.4;332.183;332.173;332.103;331.954;331.652;331.077;330.075;328.483;326.192;323.217;319.75;316.138;312.759;310.051;310.085;310.085;310.085;310.085;310.085;310.085;1
316.8;332.179;332.169;332.099;331.951;331.649;331.075;330.073;328.482;326.192;323.218;319.754;316.142;312.765;310.114;310.156;310.156;310.156;310.156;310.156;310.156;1
319.2;332.175;332.165;332.096;331.948;331.647;331.073;330.072;328.482;326.193;323.22;319.757;316.147;312.771;310.182;310.227;310.227;310.227;310.227;310.227;310.227;1
321.6;332.171;332.161;332.092;331.945;331.644;331.071;330.071;328.481;326.193;323.222;319.76;316.151;312.776;310.248;310.297;310.297;310.297;310.297;310.297;310.297;1
324;332.167;332.157;332.089;331.942;331.642;331.069;330.069;328.481;326.194;323.224;319.763;316.156;312.782;310.316;310.368;310.368;310.368;310.368;310.368;310.368;1
326.4;332.163;332.153;332.085;331.939;331.639;331.067;330.068;328.481;326.195;323.226;319.766;316.16;312.788;310.385;310.438;310.438;310.438;310.438;310.438;310.438;1
328.8;332.16;332.15;332.081;331.936;331.636;331.065;330.067;328.48;326.195;323.228;319.769;316.165;312.794;310.454;310.509;310.509;310.509;310.509;310.509;310.509;1
331.2;332.156;332.146;332.078;331.933;331.634;331.063;330.066;328.48;326.196;323.23;319.773;316.169;312.8;310.523;310.579;310.579;310.579;310.579;310.579;310.579;1
333.6;332.152;332.142;332.075;331.93;331.631;331.061;330.065;328.48;326.197;323.232;319.776;316.174;312.806;310.593;310.649;310.649;310.649;310.649;310.649;310.649;1
336;332.148;332.138;332.071;331.927;331.629;331.059;330.063;328.479;326.198;323.233;319.779;316.178;312.812;310.663;310.719;310.719;310.719;310.719;310.719;310.719;1
338.4;332.144;332.134;332.068;331.924;331.626;331.057;330.062;328.479;326.198;323.235;319.782;316.183;312.818;310.732;310.789;310.789;310.789;310.789;310.789;310.789;1
